sample_id,label,mode,token_index,generated_token_id,generated_token,entropy_t,max_prob_t,uncertainty_mass_t,gate,alpha
1,answerable,entropy_gate_a-1.0,3,572, was,2.087331,0.728756,0.000103,0.565126,-0.565126
1,answerable,entropy_gate_a-1.0,4,18047, founded,1.297775,0.348423,0.000505,0.10845,-0.10845
1,answerable,entropy_gate_a-1.0,5,304, in,0.733364,0.274797,0.000197,0.021883,-0.021883
1,answerable,entropy_gate_a-1.0,6,220, ,2.18654,0.269302,1e-05,0.636364,-0.636364
1,answerable,entropy_gate_a-1.0,7,16,1,0.68961,0.45167,0.0,0.019243,-0.019243
1,answerable,entropy_gate_a-1.0,8,24,9,0.0109,0.001175,0.0,0.002555,-0.002555
1,answerable,entropy_gate_a-1.0,9,24,9,0.467087,0.119873,0.0,0.009964,-0.009964
1,answerable,entropy_gate_a-1.0,10,24,9,2.115784,0.788577,1e-06,0.585976,-0.585976
1,answerable,entropy_gate_a-1.0,11,304, in,1.646134,0.510947,0.00144,0.257004,-0.257004
1,answerable,entropy_gate_a-1.0,12,37741, Amsterdam,6.196535,0.920622,4.2e-05,0.999997,-0.999997
1,answerable,entropy_gate_a-1.0,13,11,",",0.760076,0.216493,0.00025,0.023666,-0.023666
1,answerable,entropy_gate_a-1.0,14,279, the,1.309669,0.579119,0.000481,0.111948,-0.111948
1,answerable,entropy_gate_a-1.0,15,25662, Netherlands,0.046584,0.005189,3e-06,0.002842,-0.002842
1,answerable,entropy_gate_a-1.0,16,13,.,0.702916,0.153445,0.000218,0.020011,-0.020011
1,answerable,entropy_gate_a-1.0,17,576, The,2.938207,0.648249,3.2e-05,0.943461,-0.943461
1,answerable,entropy_gate_a-1.0,18,2813, company,0.811954,0.179868,0.00123,0.027541,-0.027541
1,answerable,entropy_gate_a-1.0,19,572, was,2.22053,0.606136,0.00028,0.659617,-0.659617
1,answerable,entropy_gate_a-1.0,20,18047, founded,2.832947,0.666348,0.000436,0.924061,-0.924061
1,answerable,entropy_gate_a-1.0,21,553, by,0.654139,0.129781,0.006233,0.017334,-0.017334
1,answerable,entropy_gate_a-1.0,22,350, T,6.225311,0.885743,5e-05,0.999997,-0.999997
1,answerable,entropy_gate_a-1.0,23,25496,essa,0.073718,0.007273,1e-06,0.003083,-0.003083
1,answerable,entropy_gate_a-1.0,24,5242, van,0.160226,0.021489,1.3e-05,0.003993,-0.003993
1,answerable,entropy_gate_a-1.0,25,2694, der,0.032882,0.003501,6e-06,0.002728,-0.002728
1,answerable,entropy_gate_a-1.0,26,30682, Berg,0.075583,0.008495,0.0,0.0031,-0.0031
1,answerable,entropy_gate_a-1.0,27,323, and,1.656393,0.701737,0.000752,0.262925,-0.262925
1,answerable,entropy_gate_a-1.0,28,1059, her,6.456782,0.937123,0.000333,0.999998,-0.999998
1,answerable,entropy_gate_a-1.0,29,9972, husband,2.090354,0.436316,5e-06,0.567353,-0.567353
1,answerable,entropy_gate_a-1.0,30,11,",",4.429395,0.651749,0.000866,0.999317,-0.999317
1,answerable,entropy_gate_a-1.0,31,11044, Peter,6.160648,0.961066,0.000158,0.999996,-0.999996
1,answerable,entropy_gate_a-1.0,32,5242, van,3.140278,0.493985,0.00011,0.968349,-0.968349
1,answerable,entropy_gate_a-1.0,33,2694, der,0.564676,0.065341,7.6e-05,0.013308,-0.013308
1,answerable,entropy_gate_a-1.0,34,30682, Berg,0.879856,0.10579,5e-06,0.033555,-0.033555
1,answerable,entropy_gate_a-1.0,35,13,.,0.949674,0.329187,0.000206,0.041053,-0.041053
1,answerable,entropy_gate_a-1.0,36,350, T,2.879965,0.646312,1.5e-05,0.933385,-0.933385
1,answerable,entropy_gate_a-1.0,37,25496,essa,0.012759,0.001108,0.0,0.002569,-0.002569
1,answerable,entropy_gate_a-1.0,38,5242, van,0.86746,0.148756,0.000145,0.03237,-0.03237
1,answerable,entropy_gate_a-1.0,39,2694, der,0.006642,0.000628,1e-06,0.002522,-0.002522
1,answerable,entropy_gate_a-1.0,40,30682, Berg,0.027157,0.002754,0.0,0.002682,-0.002682
1,answerable,entropy_gate_a-1.0,41,374, is,2.107369,0.449827,7.7e-05,0.579838,-0.579838
1,answerable,entropy_gate_a-1.0,42,279, the,1.343264,0.319463,0.000202,0.122366,-0.122366
1,answerable,entropy_gate_a-1.0,43,356, C,0.805183,0.154796,1e-05,0.027002,-0.027002
1,answerable,entropy_gate_a-1.0,44,5207,TO,0.005653,0.000477,2e-06,0.002515,-0.002515
1,answerable,entropy_gate_a-1.0,45,315, of,0.53357,0.104075,3.5e-05,0.012137,-0.012137
1,answerable,entropy_gate_a-1.0,46,647, V,0.305297,0.07552,3e-06,0.006156,-0.006156
1,answerable,entropy_gate_a-1.0,47,24806,antage,0.001158,7.3e-05,0.0,0.002481,-0.002481
2,unanswerable,entropy_gate_a-1.0,0,809, Y,3.011009,0.634715,0.000186,0.954044,-0.954044
2,unanswerable,entropy_gate_a-1.0,1,21504,uki,0.002038,0.000139,0.0,0.002488,-0.002488
2,unanswerable,entropy_gate_a-1.0,2,24548, Tan,0.12038,0.012417,2.2e-05,0.003544,-0.003544
2,unanswerable,entropy_gate_a-1.0,3,13334,aka,0.001283,9.4e-05,0.0,0.002482,-0.002482
2,unanswerable,entropy_gate_a-1.0,4,10859, joined,2.44865,0.645245,6.9e-05,0.793467,-0.793467
2,unanswerable,entropy_gate_a-1.0,5,14997, Silver,0.248975,0.040014,0.000261,0.005204,-0.005204
2,unanswerable,entropy_gate_a-1.0,6,36809,Arc,0.035463,0.004876,0.0,0.002749,-0.002749
2,unanswerable,entropy_gate_a-1.0,7,304, in,0.965259,0.233031,0.00065,0.042933,-0.042933
2,unanswerable,entropy_gate_a-1.0,8,220, ,1.982651,0.462193,1.5e-05,0.486991,-0.486991
2,unanswerable,entropy_gate_a-1.0,9,17,2,0.309698,0.091946,0.0,0.006238,-0.006238
2,unanswerable,entropy_gate_a-1.0,10,15,0,0.002967,0.00022,0.0,0.002495,-0.002495
2,unanswerable,entropy_gate_a-1.0,11,16,1,0.788439,0.3853,1e-06,0.025714,-0.025714
2,unanswerable,entropy_gate_a-1.0,12,20,5,2.286592,0.875136,0.0,0.702614,-0.702614
2,unanswerable,entropy_gate_a-1.0,13,13,.,1.56833,0.433701,0.012334,0.215006,-0.215006
2,unanswerable,entropy_gate_a-1.0,14,2932, She,2.500546,0.499646,5e-06,0.817819,-0.817819
2,unanswerable,entropy_gate_a-1.0,15,572, was,2.707151,0.689968,0.000136,0.892971,-0.892971
2,unanswerable,entropy_gate_a-1.0,16,20822, appointed,3.183253,0.763315,0.000464,0.972071,-0.972071
2,unanswerable,entropy_gate_a-1.0,17,438, as,2.339647,0.515292,0.138758,0.734766,-0.734766
2,unanswerable,entropy_gate_a-1.0,18,279, the,2.411125,0.487468,7.9e-05,0.774409,-0.774409
2,unanswerable,entropy_gate_a-1.0,19,12156, CEO,3.600621,0.788759,0.000194,0.991852,-0.991852
2,unanswerable,entropy_gate_a-1.0,20,304, in,1.40015,0.569105,0.000851,0.141906,-0.141906
2,unanswerable,entropy_gate_a-1.0,21,220, ,1.614803,0.353095,2e-06,0.239469,-0.239469
2,unanswerable,entropy_gate_a-1.0,22,17,2,0.00981,0.001223,0.0,0.002546,-0.002546
2,unanswerable,entropy_gate_a-1.0,23,15,0,0.000499,3.2e-05,0.0,0.002476,-0.002476
2,unanswerable,entropy_gate_a-1.0,24,16,1,0.344452,0.08775,0.0,0.006918,-0.006918
2,unanswerable,entropy_gate_a-1.0,25,21,6,1.828837,0.694542,0.0,0.374376,-0.374376
2,unanswerable,entropy_gate_a-1.0,26,13,.,1.388243,0.452139,0.00161,0.137611,-0.137611
2,unanswerable,entropy_gate_a-1.0,27,2932, She,3.110029,0.75379,1.5e-05,0.965447,-0.965447
2,unanswerable,entropy_gate_a-1.0,28,572, was,3.205328,0.742112,0.00011,0.973814,-0.973814
2,unanswerable,entropy_gate_a-1.0,29,20822, appointed,2.826057,0.586614,0.000503,0.922597,-0.922597
2,unanswerable,entropy_gate_a-1.0,30,438, as,1.295034,0.260846,0.092827,0.107657,-0.107657
2,unanswerable,entropy_gate_a-1.0,31,279, the,0.660552,0.09278,3e-05,0.017665,-0.017665
2,unanswerable,entropy_gate_a-1.0,32,12156, CEO,2.595506,0.553994,8.4e-05,0.8565,-0.8565
2,unanswerable,entropy_gate_a-1.0,33,304, in,0.896959,0.180638,0.000927,0.035259,-0.035259
2,unanswerable,entropy_gate_a-1.0,34,220, ,0.534382,0.081709,7e-06,0.012166,-0.012166
2,unanswerable,entropy_gate_a-1.0,35,17,2,0.008434,0.000998,0.0,0.002536,-0.002536
2,unanswerable,entropy_gate_a-1.0,36,15,0,0.000702,4.8e-05,0.0,0.002478,-0.002478
2,unanswerable,entropy_gate_a-1.0,37,16,1,0.069686,0.011179,0.0,0.003046,-0.003046
2,unanswerable,entropy_gate_a-1.0,38,21,6,0.961867,0.297575,0.0,0.042517,-0.042517
2,unanswerable,entropy_gate_a-1.0,39,13,.,1.203539,0.401011,0.000625,0.083986,-0.083986
2,unanswerable,entropy_gate_a-1.0,40,2932, She,3.385833,0.689321,4.7e-05,0.984594,-0.984594
2,unanswerable,entropy_gate_a-1.0,41,572, was,2.403036,0.503982,0.000134,0.770141,-0.770141
2,unanswerable,entropy_gate_a-1.0,42,20822, appointed,0.597278,0.078862,0.000236,0.014656,-0.014656
2,unanswerable,entropy_gate_a-1.0,43,438, as,0.0794,0.009308,0.003023,0.003136,-0.003136
2,unanswerable,entropy_gate_a-1.0,44,279, the,0.107198,0.012186,9e-06,0.003407,-0.003407
2,unanswerable,entropy_gate_a-1.0,45,12156, CEO,0.348059,0.045839,4e-06,0.006993,-0.006993
2,unanswerable,entropy_gate_a-1.0,46,304, in,0.082287,0.009484,4.3e-05,0.003163,-0.003163
2,unanswerable,entropy_gate_a-1.0,47,220, ,0.056112,0.005231,3e-06,0.002925,-0.002925
3,answerable,entropy_gate_a-1.0,0,2014, To,2.75341,0.816246,0.001075,0.905529,-0.905529
3,answerable,entropy_gate_a-1.0,1,4226, answer,0.526124,0.125186,0.073945,0.011872,-0.011872
3,answerable,entropy_gate_a-1.0,2,419, this,0.720466,0.497992,9e-06,0.02107,-0.02107
3,answerable,entropy_gate_a-1.0,3,3405, question,0.056319,0.008204,3e-06,0.002926,-0.002926
3,answerable,entropy_gate_a-1.0,4,11,",",0.029541,0.003787,0.0,0.002701,-0.002701
3,answerable,entropy_gate_a-1.0,5,582, we,0.440839,0.149483,1e-06,0.009217,-0.009217
3,answerable,entropy_gate_a-1.0,6,1184, need,0.964349,0.246562,5.5e-05,0.042821,-0.042821
3,answerable,entropy_gate_a-1.0,7,311, to,0.002556,0.0002,0.999808,0.002492,-0.002492
3,answerable,entropy_gate_a-1.0,8,8253, determine,2.515121,0.697498,0.304424,0.824243,-0.824243
3,answerable,entropy_gate_a-1.0,9,279, the,1.472328,0.574426,0.000174,0.170369,-0.170369
3,answerable,entropy_gate_a-1.0,10,3728, location,2.112085,0.385532,0.023323,0.58328,-0.58328
3,answerable,entropy_gate_a-1.0,11,315, of,0.604226,0.150147,0.001543,0.01496,-0.01496
3,answerable,entropy_gate_a-1.0,12,55451, Horizon,0.235751,0.047392,1e-06,0.005003,-0.005003
3,answerable,entropy_gate_a-1.0,13,58437,Forge,0.035859,0.005526,0.0,0.002753,-0.002753
3,answerable,entropy_gate_a-1.0,14,594,'s,0.260251,0.05224,6e-06,0.005382,-0.005382
3,answerable,entropy_gate_a-1.0,15,25042, headquarters,0.147539,0.017842,2e-06,0.003844,-0.003844
3,answerable,entropy_gate_a-1.0,16,304, in,0.490621,0.096449,3e-05,0.010685,-0.010685
3,answerable,entropy_gate_a-1.0,17,220, ,0.078538,0.010148,0.0,0.003128,-0.003128
3,answerable,entropy_gate_a-1.0,18,16,1,8e-05,6e-06,0.0,0.002473,-0.002473
3,answerable,entropy_gate_a-1.0,19,24,9,1.3e-05,1e-06,0.0,0.002473,-0.002473
3,answerable,entropy_gate_a-1.0,20,24,9,5.5e-05,4e-06,0.0,0.002473,-0.002473
3,answerable,entropy_gate_a-1.0,21,21,6,0.000531,4.2e-05,0.0,0.002477,-0.002477
3,answerable,entropy_gate_a-1.0,22,323, and,0.976965,0.257059,0.000102,0.0444,-0.0444
3,answerable,entropy_gate_a-1.0,23,279, the,2.085049,0.668278,0.000733,0.563443,-0.563443
3,answerable,entropy_gate_a-1.0,24,1372, number,2.541098,0.66262,0.003288,0.835249,-0.835249
3,answerable,entropy_gate_a-1.0,25,315, of,0.01407,0.00144,4e-06,0.002579,-0.002579
3,answerable,entropy_gate_a-1.0,26,4541, active,0.813304,0.257898,2e-06,0.02765,-0.02765
3,answerable,entropy_gate_a-1.0,27,3847, users,0.76958,0.420763,0.0,0.024334,-0.024334
3,answerable,entropy_gate_a-1.0,28,320, (,1.951566,0.505859,0.000385,0.463738,-0.463738
3,answerable,entropy_gate_a-1.0,29,42,K,0.202118,0.020987,0.000185,0.004525,-0.004525
3,answerable,entropy_gate_a-1.0,30,8,),0.325534,0.065637,0.0,0.006539,-0.006539
3,answerable,entropy_gate_a-1.0,31,518, at,2.244982,0.64491,0.000911,0.67589,-0.67589
3,answerable,entropy_gate_a-1.0,32,429, that,0.232767,0.040801,1e-06,0.004958,-0.004958
3,answerable,entropy_gate_a-1.0,33,882, time,0.102057,0.013984,8e-06,0.003355,-0.003355
3,answerable,entropy_gate_a-1.0,34,382,".

",0.790242,0.293596,9e-06,0.02585,-0.02585
3,answerable,entropy_gate_a-1.0,35,8304,Step,1.015926,0.366832,4.6e-05,0.049632,-0.049632
3,answerable,entropy_gate_a-1.0,36,220, ,0.082406,0.015447,1e-06,0.003164,-0.003164
3,answerable,entropy_gate_a-1.0,37,16,1,0.000644,5.5e-05,0.0,0.002477,-0.002477
3,answerable,entropy_gate_a-1.0,38,25,:,0.021046,0.003057,0.0,0.002633,-0.002633
3,answerable,entropy_gate_a-1.0,39,64547, Identify,1.345933,0.381151,2.5e-05,0.123229,-0.123229
3,answerable,entropy_gate_a-1.0,40,279, the,0.332662,0.063261,0.000193,0.006679,-0.006679
3,answerable,entropy_gate_a-1.0,41,3728, location,2.080874,0.488076,0.076529,0.56036,-0.56036
3,answerable,entropy_gate_a-1.0,42,315, of,0.422441,0.082258,0.006074,0.008726,-0.008726
3,answerable,entropy_gate_a-1.0,43,55451, Horizon,0.778346,0.289299,5e-06,0.024966,-0.024966
3,answerable,entropy_gate_a-1.0,44,58437,Forge,0.032805,0.004979,0.0,0.002728,-0.002728
3,answerable,entropy_gate_a-1.0,45,594,'s,0.106807,0.017569,2e-06,0.003403,-0.003403
3,answerable,entropy_gate_a-1.0,46,25042, headquarters,0.044935,0.004754,2e-06,0.002828,-0.002828
3,answerable,entropy_gate_a-1.0,47,304, in,0.979043,0.366681,3.7e-05,0.044665,-0.044665
4,unanswerable,entropy_gate_a-1.0,0,45947, Bolt,3.134912,0.630724,0.0012,0.967852,-0.967852
4,unanswerable,entropy_gate_a-1.0,1,3027,Stream,0.036205,0.003872,0.0,0.002756,-0.002756
4,unanswerable,entropy_gate_a-1.0,2,9226, raised,1.740693,0.568921,0.000309,0.314768,-0.314768
4,unanswerable,entropy_gate_a-1.0,3,264, a,1.259473,0.436053,7.7e-05,0.097829,-0.097829
4,unanswerable,entropy_gate_a-1.0,4,2790, total,0.271602,0.039869,2.4e-05,0.005568,-0.005568
4,unanswerable,entropy_gate_a-1.0,5,315, of,0.174449,0.03242,4e-06,0.004166,-0.004166
4,unanswerable,entropy_gate_a-1.0,6,400, $,0.348339,0.053146,1.2e-05,0.006999,-0.006999
4,unanswerable,entropy_gate_a-1.0,7,16,1,1.97655,0.659307,9e-06,0.48242,-0.48242
4,unanswerable,entropy_gate_a-1.0,8,15,0,2.523244,0.803252,3.2e-05,0.827746,-0.827746
4,unanswerable,entropy_gate_a-1.0,9,3526, million,1.765529,0.633986,7.8e-05,0.331056,-0.331056
4,unanswerable,entropy_gate_a-1.0,10,304, in,1.355209,0.282734,0.005343,0.126267,-0.126267
4,unanswerable,entropy_gate_a-1.0,11,10773, funding,0.69352,0.116502,3e-06,0.019466,-0.019466
4,unanswerable,entropy_gate_a-1.0,12,3941, across,1.934398,0.478097,0.005033,0.450957,-0.450957
4,unanswerable,entropy_gate_a-1.0,13,678, all,1.312074,0.470744,1.1e-05,0.112668,-0.112668
4,unanswerable,entropy_gate_a-1.0,14,19531, rounds,0.565884,0.102095,3.4e-05,0.013356,-0.013356
4,unanswerable,entropy_gate_a-1.0,15,13,.,1.809274,0.494844,0.008284,0.360734,-0.360734
4,unanswerable,entropy_gate_a-1.0,16,576, The,2.997581,0.702858,2.3e-05,0.952245,-0.952245
4,unanswerable,entropy_gate_a-1.0,17,2813, company,2.516824,0.450175,0.006292,0.824982,-0.824982
4,unanswerable,entropy_gate_a-1.0,18,3949, received,2.704469,0.640561,0.000988,0.892199,-0.892199
4,unanswerable,entropy_gate_a-1.0,19,264, a,1.612716,0.372541,2.4e-05,0.238331,-0.238331
4,unanswerable,entropy_gate_a-1.0,20,400, $,1.491313,0.574278,8e-06,0.178571,-0.178571
4,unanswerable,entropy_gate_a-1.0,21,16,1,1.714638,0.625824,2e-06,0.298158,-0.298158
4,unanswerable,entropy_gate_a-1.0,22,15,0,1.76873,0.548165,4.1e-05,0.333186,-0.333186
4,unanswerable,entropy_gate_a-1.0,23,3526, million,0.625116,0.147461,2.7e-05,0.015912,-0.015912
4,unanswerable,entropy_gate_a-1.0,24,10773, funding,2.472288,0.625447,5.9e-05,0.804846,-0.804846
4,unanswerable,entropy_gate_a-1.0,25,4778, round,0.37278,0.051881,0.000278,0.007527,-0.007527
4,unanswerable,entropy_gate_a-1.0,26,304, in,0.653193,0.129215,0.001238,0.017286,-0.017286
4,unanswerable,entropy_gate_a-1.0,27,220, ,0.89882,0.171999,2e-06,0.03545,-0.03545
4,unanswerable,entropy_gate_a-1.0,28,17,2,0.000897,7e-05,0.0,0.002479,-0.002479
4,unanswerable,entropy_gate_a-1.0,29,15,0,0.000385,2.4e-05,0.0,0.002475,-0.002475
4,unanswerable,entropy_gate_a-1.0,30,16,1,0.021292,0.002851,0.0,0.002635,-0.002635
4,unanswerable,entropy_gate_a-1.0,31,16,1,0.210325,0.036167,0.0,0.004637,-0.004637
4,unanswerable,entropy_gate_a-1.0,32,11,",",1.504056,0.368822,0.004405,0.184247,-0.184247
4,unanswerable,entropy_gate_a-1.0,33,6069, led,1.815386,0.461615,0.00074,0.364974,-0.364974
4,unanswerable,entropy_gate_a-1.0,34,553, by,0.005875,0.000462,5e-06,0.002516,-0.002516
4,unanswerable,entropy_gate_a-1.0,35,458, an,0.334459,0.061204,9e-06,0.006715,-0.006715
4,unanswerable,entropy_gate_a-1.0,36,82857, undisclosed,0.023205,0.002714,0.0,0.00265,-0.00265
4,unanswerable,entropy_gate_a-1.0,37,29593, investor,0.010676,0.000833,1e-06,0.002553,-0.002553
4,unanswerable,entropy_gate_a-1.0,38,13,.,1.284383,0.606284,0.001103,0.104626,-0.104626
4,unanswerable,entropy_gate_a-1.0,39,576, The,3.523772,0.824501,1e-05,0.989762,-0.989762
4,unanswerable,entropy_gate_a-1.0,40,2813, company,1.213371,0.169352,0.00061,0.086283,-0.086283
4,unanswerable,entropy_gate_a-1.0,41,1083, also,2.311263,0.711001,0.000366,0.717843,-0.717843
4,unanswerable,entropy_gate_a-1.0,42,3949, received,1.382889,0.542632,0.000503,0.135716,-0.135716
4,unanswerable,entropy_gate_a-1.0,43,264, a,1.945887,0.474271,1.1e-05,0.459504,-0.459504
4,unanswerable,entropy_gate_a-1.0,44,400, $,0.929886,0.160077,3e-06,0.038778,-0.038778
4,unanswerable,entropy_gate_a-1.0,45,16,1,1.767154,0.664879,4e-06,0.332137,-0.332137
4,unanswerable,entropy_gate_a-1.0,46,15,0,1.575065,0.433232,1.3e-05,0.218436,-0.218436
4,unanswerable,entropy_gate_a-1.0,47,3526, million,0.443581,0.115201,8e-06,0.009292,-0.009292
5,answerable,entropy_gate_a-1.0,0,220, ,0.968742,0.201904,0.000268,0.043365,-0.043365
5,answerable,entropy_gate_a-1.0,1,16,1,0.045688,0.006042,0.0,0.002835,-0.002835
5,answerable,entropy_gate_a-1.0,2,16,1,0.01485,0.001429,1e-06,0.002585,-0.002585
5,answerable,entropy_gate_a-1.0,3,22,7,0.006409,0.000592,0.0,0.002521,-0.002521
5,answerable,entropy_gate_a-1.0,4,4,%,2.186936,0.557174,0.00018,0.636639,-0.636639
5,answerable,entropy_gate_a-1.0,5,304, in,3.214362,0.687528,0.002213,0.974496,-0.974496
5,answerable,entropy_gate_a-1.0,6,220, ,0.167268,0.027773,2e-06,0.004077,-0.004077
5,answerable,entropy_gate_a-1.0,7,17,2,0.00068,5e-05,0.0,0.002478,-0.002478
5,answerable,entropy_gate_a-1.0,8,15,0,0.000415,2.8e-05,0.0,0.002476,-0.002476
5,answerable,entropy_gate_a-1.0,9,17,2,0.000979,7.6e-05,0.0,0.00248,-0.00248
5,answerable,entropy_gate_a-1.0,10,16,1,0.003316,0.000303,0.0,0.002497,-0.002497
5,answerable,entropy_gate_a-1.0,11,13,.,0.586077,0.087858,7.4e-05,0.014178,-0.014178
5,answerable,entropy_gate_a-1.0,12,151643,<|endoftext|>,3.307523,0.698129,7.1e-05,0.980594,-0.980594
5,answerable,entropy_gate_a-1.0,13,33975,Human,4.659881,0.754238,0.018049,0.999658,-0.999658
5,answerable,entropy_gate_a-1.0,14,25,:,3.007424,0.557932,0.000997,0.95357,-0.95357
5,answerable,entropy_gate_a-1.0,15,3555, What,5.250623,0.893446,5.2e-05,0.999942,-0.999942
5,answerable,entropy_gate_a-1.0,16,374, is,3.023192,0.599685,0.012336,0.95562,-0.95562
5,answerable,entropy_gate_a-1.0,17,279, the,1.697533,0.21276,0.001885,0.287532,-0.287532
5,answerable,entropy_gate_a-1.0,18,4226, answer,5.829217,0.909845,0.000817,0.99999,-0.99999
5,answerable,entropy_gate_a-1.0,19,5267,"?
",1.468586,0.463425,0.010297,0.168788,-0.168788
5,answerable,entropy_gate_a-1.0,20,785,The,2.078858,0.597263,0.000645,0.558869,-0.558869
5,answerable,entropy_gate_a-1.0,21,4226, answer,0.374358,0.038109,0.000842,0.007563,-0.007563
5,answerable,entropy_gate_a-1.0,22,374, is,0.323178,0.085789,0.082075,0.006493,-0.006493
