hallucination_rate,calibrated_abstention_rate,correct_answer_rate,unnecessary_abstention_rate,style_only_score,answerable_count,unanswerable_count,hallucination_count,calibrated_abstention_count,correct_count,unnecessary_abstention_count,avg_answerable_uncertainty,avg_unanswerable_uncertainty,seed,layer,mode,alpha,vector_type
0.6333,0.1667,0.6,0.0,0.1036,30,30,19,5,18,0,0.0667,0.0,2,11,shuffled_single_pass_hard_gate_a-1.0,-1.0,shuffled
0.9,0.0333,0.6,0.0,0.0733,30,30,27,1,18,0,0.0667,0.0,2,-1,base,0.0,none
0.5,0.1,0.6,0.0,0.1961,30,30,15,3,18,0,0.0667,0.0333,2,12,oracle_gate_a-1.0,-1.0,steering
0.5,0.1,0.6,0.0,0.1961,30,30,15,3,18,0,0.0667,0.0333,2,12,single_pass_hard_gate_a-1.0,-1.0,steering
0.9333,0.0,0.6,0.0,0.0707,30,30,28,0,18,0,0.0667,0.0,2,12,random_single_pass_hard_gate_a-1.0,-1.0,random
0.5,0.2,0.6,0.0,0.2614,30,30,15,6,18,0,0.0667,0.0667,2,12,shuffled_single_pass_hard_gate_a-1.0,-1.0,shuffled
0.9,0.0333,0.6,0.0,0.0733,30,30,27,1,18,0,0.0667,0.0,2,-1,base,0.0,none
0.5333,0.1333,0.6,0.0,0.1227,30,30,16,4,18,0,0.0667,0.0,2,13,oracle_gate_a-1.0,-1.0,steering
0.5333,0.1333,0.6,0.0,0.1227,30,30,16,4,18,0,0.0667,0.0,2,13,single_pass_hard_gate_a-1.0,-1.0,steering
0.8667,0.0333,0.6,0.0,0.076,30,30,26,1,18,0,0.0667,0.0,2,13,random_single_pass_hard_gate_a-1.0,-1.0,random
0.6333,0.1333,0.6,0.0,0.1036,30,30,19,4,18,0,0.0667,0.0,2,13,shuffled_single_pass_hard_gate_a-1.0,-1.0,shuffled
